id;created_at;updated_at;deleted_at;text;unfiltered_text;period;teacher_practice;teacher_lector;score_usefulness;score_interesting;score_complexity;count_emotional_negative;count_emotional_neutral;count_emotional_positive;is_anonymous;user_id;elective_id;verified_at;elective;user
1;2023-04-14T09:29:25.000000Z;2023-04-14T09:38:50.000000Z;2023-04-14T09:38:50.000000Z;;;"2023 весна";;;4;5;5;;;;0;1;29;2023-04-14T09:29:25.000000Z;"Археология компьютерных игр";2020;"Институт математики и компьютерных наук";"Математическое обеспечение и администрирование информационных систем"
2;2023-04-14T09:29:57.000000Z;2023-05-01T11:53:29.000000Z;2023-05-01T11:53:29.000000Z;;;"2023 весна";"Григоришин Сергей Викторович";"Григоришин Сергей Викторович";3;4;4;;;;1;1;407;2023-04-30T08:18:55.000000Z;"Философия кино";2020;"Институт математики и компьютерных наук";"Математическое обеспечение и администрирование информационных систем"
3;2022-11-19T12:54:15.000000Z;;;"Был скучноват. Много практики, решение задач про заработную плату. Довольно сложно зарабатывать баллы, нужно теорию учить и местами её рассказывать, решать постоянно задачи, выходить к доске. Когда баллы набраны на зачёт, все равно нужно ходить, иначе она их уберёт (хотя, она просто так, наверное, грозила. В конце сама доставляла и добирала баллы аж до +10 халявных) ";;;;;3;3;3;1;2;2;1;241;94;2023-04-17T06:19:15.000000Z;"Зарплата: от начисления до выплаты";2020;"Институт математики и компьютерных наук";"Педагогическое образование"
4;2022-11-19T12:53:21.000000Z;;;"Первые пол семестра - упражнения всякие сценические, а потом активное участие в сценической деятельности. В общем и целом было весело, домашки немного, препод в постановке собственного спектакля давал полную свободу. Просто здорово, подойдет для активных и полуактивных";;;"Тяглова Светлана Александровна";"Тяглова Светлана Александровна";5;5;5;0;0;3;1;175;213;2023-04-17T06:19:15.000000Z;"Музыкальный театр ";2020;"Институт математики и компьютерных наук";"Судебная и прокурорская деятельность"
5;2022-11-19T12:53:21.000000Z;;;"Чисто основы основ 3д моделинга, для тех кто в этом шарит будет скучно, для тех кто не шарит, но хочет попробовать, то будет интересно, для тех кто не хочет и не шарит, плохой выбор. Дз немного, хотя посидеть часок придется на нексольких. Зачёт получить несложно, ходи на пары и делай работы, ничего сложного нет. В основе просто повторять за преподом. Если дома нет мощного девайса, то тоже будут трудности с элективом.";;;"Мокроусов Сергей Иванович";"Мокроусов Сергей Иванович";4;4;4;0;4;1;1;175;2;2023-04-17T06:19:15.000000Z;"3D и медийная реклама в программе 3DS MAX";2020;"Институт математики и компьютерных наук";"Судебная и прокурорская деятельность"
6;2022-11-19T12:53:22.000000Z;;;"Электив просто песня, две презентации за весь семестр дома сделать и всё, на парах просто сидим говорим про еду, или смотрим фильмы про еду, может быть скучновато конечно. Однако если хочется лайтовый электив, то это один из лучших выборов";;;"Щербич Софья Николаевна";"Щербич Софья Николаевна";5;5;5;0;0;2;1;175;127;2023-04-17T06:19:15.000000Z;"Историческая гастрономика";2020;"Институт математики и компьютерных наук";"Судебная и прокурорская деятельность"
7;2022-11-19T12:53:57.000000Z;;;"Прекрасный электив помогающий разобраться в себе и в других людях";;;"Русяева Ирина Александровна ";"Русяева Ирина Александровна ";5;5;5;0;0;1;1;219;318;2023-04-17T06:19:15.000000Z;"Психология общения";2021;"Институт математики и компьютерных наук";"Педагогическое образование (с двумя профилями подготовки)"
8;2022-11-19T12:53:37.000000Z;;;"Интересный электив, но на любителя. Нужно читать философские книги и быть готовым обсуждать их. Идельный выбор для тех, кому интересна философия, история философии.";;;"Пупышева Ирина Николаевна";"Пупышева Ирина Николаевна";4;4;4;0;1;2;1;197;46;2023-04-17T06:19:15.000000Z;"Великие философские книги, изменившие цивилизацию";2020;"Институт математики и компьютерных наук";Экономика
9;2022-11-19T12:53:37.000000Z;2023-09-06T08:20:34.000000Z;;"Просто обсуждали то, как ведутся политические сайты в интернете, немного затронули тему постправды, но как-то бесполезненько.";;"2021 осень";"Муслимова Екатерина Олеговна";"Суфиянова Гульнур Рафаэлевна";3;3;3;1;0;0;1;1;275;2023-09-06T08:11:06.000000Z;"Политические коммуникации в Интернете";2020;"Институт математики и компьютерных наук";"Математическое обеспечение и администрирование информационных систем"
10;2022-11-19T12:53:37.000000Z;2023-09-07T14:50:07.000000Z;;"Прекрасный электив для любителей подискутировать, поучаствовать в дебатах. Разбирали и применяли на практике различные виды дискуссий, стратегии и тактики ведения спора.";;"2022 весна";"Пупышева Ирина Николаевна";"Пупышева Ирина Николаевна";5;5;5;0;1;1;0;1;447;2023-09-07T14:50:07.000000Z;Эристика;2020;"Институт математики и компьютерных наук";"Математическое обеспечение и администрирование информационных систем"
11;2022-11-19T12:55:06.000000Z;;;"Очень подобрано объясняют, прямо с самого начала, с самых элементарных вещей. Также преподаватель готов идти навстречу студентам, может закрыть прелемет, если вы сдедите отчёт по какой-то программе, и можно не ходить ";;;"Актаев Нуркен Ерболатович ";"Актаев Нуркен Ерболатович ";5;5;5;0;0;2;1;283;5;2023-04-17T06:19:15.000000Z;"Python - программная среда для аналитиков";2021;"Институт математики и компьютерных наук";"Мехатроника и робототехника"
12;2022-11-19T12:53:25.000000Z;;;"Хороший электив, приятная женщина вела практические занятия) в принципе ничего сложного и нового там не было, базовый курс биологии) если ходить на занятия и выполнять задания на паре + иногда небольшие домашние работы, можно очень рано закрыться, и не ходить на оставшиеся пары. Единственная проблема - преподаватель не очень понятно объясняет материал ";;;"Шейкина Зинаида Васильевна ";"Шейкина Зинаида Васильевна ";4;4;4;1;0;1;1;183;239;2023-04-17T06:19:15.000000Z;"Основы генетики";2020;"Институт биологии";"Зарубежное регионоведение"
